name,slug,city,country,address,website_url,curriculum,age_range,religious_environment,price_min,price_max,summary,school_level,logo_url,cover_image_url,status
Nexus International School,nexus-international-school-putrajaya,Putrajaya,Malaysia,Putrajaya,,British|International Baccalaureate (IB)|Praxis|Cambridge Assessment International Education,2 to 18 years,Not specified,14113,28789,"Preschool, International School, Boarding School",All-through,https://www.nexus.edu.my/wp-content/uploads/2019/08/Nexus-Logo-Malaysia.png,https://www.nexus.edu.my/wp-content/uploads/2019/08/Nexus-Campus.jpg,active
International Modern Arabic School (IMAS),international-modern-arabic-school-imas-putrajaya,Putrajaya,Malaysia,"Putrajaya, Putrajaya",,British|Singaporean|Arabic,0 to 0 years,Islamic,9400,19950,"Preschool, International School",Primary to Secondary,https://imas.edu.my/wp-content/uploads/2021/01/IMAS-LOGO-1.png,https://imas.edu.my/wp-content/uploads/2021/01/IMAS-Campus.jpg,active
Brainy Bunch Private International Islamic School Cyberjaya,brainy-bunch-private-international-islamic-school-cyberjaya,Cyberjaya,Malaysia,"Cyberjaya, Putrajaya",,Montessori|Islamic,0 to 0 years,Islamic,0,0,"Preschool, Private School",Primary,https://www.brainybunch.com/wp-content/uploads/2020/06/Logo-Brainy-Bunch.png,https://www.brainybunch.com/wp-content/uploads/2020/06/Brainy-Bunch-Campus.jpg,active
